Date,Trimestre,Retorno
16/03/2017,20170101,-0.00162671
17/03/2017,20170101,-0.001314315
20/03/2017,20170101,-0.002009893
21/03/2017,20170101,-0.012407973
22/03/2017,20170101,0.001889886
23/03/2017,20170101,-0.00106027
24/03/2017,20170101,-0.000843996
27/03/2017,20170101,-0.001019587
28/03/2017,20170101,0.007251474
29/03/2017,20170101,0.001085325
30/03/2017,20170101,0.00293511
31/03/2017,20170101,-0.002255048
3/04/2017,20170401,-0.001642126
4/04/2017,20170401,0.000559522
5/04/2017,20170401,-0.003054861
6/04/2017,20170401,0.001929509
7/04/2017,20170401,-0.00082713
10/04/2017,20170401,0.000687686
11/04/2017,20170401,-0.001433879
12/04/2017,20170401,-0.003759951
13/04/2017,20170401,-0.006814694
17/04/2017,20170401,0.008613349
18/04/2017,20170401,-0.00290338
19/04/2017,20170401,-0.001716351
20/04/2017,20170401,0.007557263
21/04/2017,20170401,-0.003035073
24/04/2017,20170401,0.010840069
25/04/2017,20170401,0.006090687
26/04/2017,20170401,-0.000485703
27/04/2017,20170401,0.00055292
28/04/2017,20170401,-0.001913147
1/05/2017,20170401,0.001732291
2/05/2017,20170401,0.00118905
3/05/2017,20170401,-0.001271361
4/05/2017,20170401,0.000582103
5/05/2017,20170401,0.004088695
8/05/2017,20170401,3.74461E-05
9/05/2017,20170401,-0.001025249
10/05/2017,20170401,0.001130601
11/05/2017,20170401,-0.002162809
12/05/2017,20170401,-0.001478441
15/05/2017,20170401,0.004776514
16/05/2017,20170401,-0.000686897
17/05/2017,20170401,-0.018178215
18/05/2017,20170401,0.003686819
19/05/2017,20170401,0.0067675
22/05/2017,20170401,0.005160132
23/05/2017,20170401,0.001837872
24/05/2017,20170401,0.002489127
25/05/2017,20170401,0.004441948
26/05/2017,20170401,0.00031055
30/05/2017,20170401,-0.001204624
31/05/2017,20170401,-0.000459969
1/06/2017,20170401,0.007571113
2/06/2017,20170401,0.003707731
5/06/2017,20170401,-0.001217665
6/06/2017,20170401,-0.00277904
7/06/2017,20170401,0.001568257
8/06/2017,20170401,0.000267205
9/06/2017,20170401,-0.000829989
12/06/2017,20170401,-0.000978763
13/06/2017,20170401,0.004511505
14/06/2017,20170401,-0.000995831
15/06/2017,20170401,-0.002239598
16/06/2017,20170401,0.000283639
19/06/2017,20170401,0.008347229
20/06/2017,20170401,-0.006696638
21/06/2017,20170401,-0.000582644
22/06/2017,20170401,-0.000455782
23/06/2017,20170401,0.001560916
26/06/2017,20170401,0.000315802
27/06/2017,20170401,-0.008072825
28/06/2017,20170401,0.008808066
29/06/2017,20170401,-0.008600023
30/06/2017,20170401,0.001533232
3/07/2017,20170701,0.002310834
5/07/2017,20170701,0.001453279
6/07/2017,20170701,-0.009368824
7/07/2017,20170701,0.006403126
10/07/2017,20170701,0.000927766
11/07/2017,20170701,-0.000782681
12/07/2017,20170701,0.007305608
13/07/2017,20170701,0.001874584
14/07/2017,20170701,0.004673503
17/07/2017,20170701,-5.29129E-05
18/07/2017,20170701,0.000597857
19/07/2017,20170701,0.005372639
20/07/2017,20170701,-0.000153659
21/07/2017,20170701,-0.000367872
24/07/2017,20170701,-0.001063735
25/07/2017,20170701,0.002923172
26/07/2017,20170701,0.000282664
27/07/2017,20170701,-0.000972688
28/07/2017,20170701,-0.001341115
31/07/2017,20170701,-0.000728146
1/08/2017,20170701,0.002449115
2/08/2017,20170701,0.000492648
3/08/2017,20170701,-0.002183654
4/08/2017,20170701,0.001889104
7/08/2017,20170701,0.0016472
8/08/2017,20170701,-0.002414433
9/08/2017,20170701,-0.000363609
10/08/2017,20170701,-0.014474442
11/08/2017,20170701,0.00127557
14/08/2017,20170701,0.010043755
15/08/2017,20170701,-0.000498808
16/08/2017,20170701,0.001420103
17/08/2017,20170701,-0.015436952
18/08/2017,20170701,-0.001835367
21/08/2017,20170701,0.001162651
22/08/2017,20170701,0.00994078
23/08/2017,20170701,-0.003453593
24/08/2017,20170701,-0.002074462
25/08/2017,20170701,0.001672869
28/08/2017,20170701,0.000487072
29/08/2017,20170701,0.000842822
30/08/2017,20170701,0.004615149
31/08/2017,20170701,0.005720976
1/09/2017,20170701,0.001982541
5/09/2017,20170701,-0.007550807
6/09/2017,20170701,0.003128727
7/09/2017,20170701,-0.000178436
8/09/2017,20170701,-0.001488851
11/09/2017,20170701,0.010839299
12/09/2017,20170701,0.003363948
13/09/2017,20170701,0.000757121
14/09/2017,20170701,-0.001100718
15/09/2017,20170701,0.001847181
18/09/2017,20170701,0.001455921
19/09/2017,20170701,0.001110195
20/09/2017,20170701,0.000634348
21/09/2017,20170701,-0.003045917
22/09/2017,20170701,0.000647794
25/09/2017,20170701,-0.00222205
26/09/2017,20170701,7.21668E-05
27/09/2017,20170701,0.004085144
28/09/2017,20170701,0.001204616
29/09/2017,20170701,0.00370511
2/10/2017,20171001,0.003874004
3/10/2017,20171001,0.002158838
4/10/2017,20171001,0.00124672
5/10/2017,20171001,0.005646787
6/10/2017,20171001,-0.001073634
9/10/2017,20171001,-0.001804434
10/10/2017,20171001,0.002322413
11/10/2017,20171001,0.001803507
12/10/2017,20171001,-0.001686753
13/10/2017,20171001,0.000878107
16/10/2017,20171001,0.001750753
17/10/2017,20171001,0.000672579
18/10/2017,20171001,0.000742335
19/10/2017,20171001,0.000327998
20/10/2017,20171001,0.005116843
23/10/2017,20171001,-0.003972484
24/10/2017,20171001,0.001617909
25/10/2017,20171001,-0.00466305
26/10/2017,20171001,0.001270946
27/10/2017,20171001,0.008073022
30/10/2017,20171001,-0.00319247
31/10/2017,20171001,0.000944459
1/11/2017,20171001,0.00159211
2/11/2017,20171001,0.000189966
3/11/2017,20171001,0.003097075
6/11/2017,20171001,0.001271251
7/11/2017,20171001,-0.000189103
8/11/2017,20171001,0.001443655
9/11/2017,20171001,-0.003761888
10/11/2017,20171001,-0.000897644
13/11/2017,20171001,0.000983634
14/11/2017,20171001,-0.002309609
15/11/2017,20171001,-0.005525676
16/11/2017,20171001,0.008196058
17/11/2017,20171001,-0.002625963
20/11/2017,20171001,0.001275683
21/11/2017,20171001,0.006541139
22/11/2017,20171001,-0.000750261
24/11/2017,20171001,0.002056095
27/11/2017,20171001,-0.000384258
28/11/2017,20171001,0.009848513
29/11/2017,20171001,-0.000369226
30/11/2017,20171001,0.008190951
1/12/2017,20171001,-0.002024531
4/12/2017,20171001,-0.001052157
5/12/2017,20171001,-0.003739382
6/12/2017,20171001,-0.000114105
7/12/2017,20171001,0.002932358
8/12/2017,20171001,0.005506306
11/12/2017,20171001,0.003201957
12/12/2017,20171001,0.001548922
13/12/2017,20171001,-0.000472957
14/12/2017,20171001,-0.004070859
