Date,S&P Return
2016-04-06,0.010507619
2016-04-07,-0.011975787
2016-04-08,0.002786578
2016-04-11,-0.002739786
2016-04-12,0.009662134
2016-04-13,0.010040137
2016-04-14,0.000172927
2016-04-15,-0.000984285
2016-04-18,0.006541026
2016-04-19,0.003084485
2016-04-20,0.000761545
2016-04-21,-0.005194027
2016-04-22,4.79E-05
2016-04-25,-0.001812046
2016-04-26,0.001872752
2016-04-27,0.001649353
2016-04-28,-0.009230768
2016-04-29,-0.005063088
2016-05-02,0.007809947
2016-05-03,-0.008676638
2016-05-04,-0.005936889
2016-05-05,-0.000239008
2016-05-06,0.003174639
2016-05-09,0.000753497
2016-05-10,0.012483644
2016-05-11,-0.009561518
2016-05-12,-0.000169465
2016-05-13,-0.008478289
2016-05-16,0.009796653
2016-05-17,-0.009411297
2016-05-18,0.000205179
2016-05-19,-0.003706708
2016-05-20,0.006019504
2016-05-23,-0.002085459
2016-05-24,0.013681383
2016-05-25,0.00697474
2016-05-26,-0.000210444
2016-05-27,0.004286857
2016-05-31,-0.001005263
2016-06-01,0.001135042
2016-06-02,0.002824678
2016-06-03,-0.002911815
2016-06-06,0.004897281
2016-06-07,0.001289446
2016-06-08,0.003309566
2016-06-09,-0.001717759
2016-06-10,-0.009175181
2016-06-13,-0.008115191
2016-06-14,-0.001798886
2016-06-15,-0.001840713
2016-06-16,0.003132991
2016-06-17,-0.003257965
2016-06-20,0.005808185
2016-06-21,0.002712061
2016-06-22,-0.001651564
2016-06-23,0.013364079
2016-06-24,-0.0359198
2016-06-27,-0.018096502
2016-06-28,0.017770165
2016-06-29,0.017032673
2016-06-30,0.013565044
2016-07-01,0.001948602
2016-07-05,-0.006847477
2016-07-06,0.005352963
2016-07-07,-0.000871578
2016-07-08,0.015253349
2016-07-11,0.003408616
2016-07-12,0.007009293
2016-07-13,0.000134768
2016-07-14,0.005259204
2016-07-15,-0.000928947
2016-07-18,0.002382295
2016-07-19,-0.001435174
2016-07-20,0.004270301
2016-07-21,-0.003612529
2016-07-22,0.004553965
2016-07-25,-0.003011475
2016-07-26,0.000322785
2016-07-27,-0.001198542
2016-07-28,0.001606209
2016-07-29,0.001631309
2016-08-01,-0.001269787
2016-08-02,-0.00636162
2016-08-03,0.003133943
2016-08-04,0.000212572
2016-08-05,0.008603496
2016-08-08,-0.000907165
2016-08-09,0.000389794
2016-08-10,-0.002864686
2016-08-11,0.004734588
2016-08-12,-0.000796046
2016-08-15,0.002792909
2016-08-16,-0.005479077
2016-08-17,0.00186859
2016-08-18,0.002199617
2016-08-19,-0.001440272
2016-08-22,-0.000563323
2016-08-23,0.001951769
2016-08-24,-0.005240277
2016-08-25,-0.001365227
2016-08-26,-0.001578817
2016-08-29,0.005228047
2016-08-30,-0.001953681
2016-08-31,-0.002375864
2016-09-01,-4.14E-05
2016-09-02,0.004201041
2016-09-06,0.002981679
2016-09-07,-0.000146385
2016-09-08,-0.002223014
2016-09-09,-0.024522069
2016-09-12,0.014677053
2016-09-13,-0.014830674
2016-09-14,-0.000587677
2016-09-15,0.010109273
2016-09-16,-0.003772295
2016-09-19,-1.86E-05
2016-09-20,0.000299138
2016-09-21,0.010917162
2016-09-22,0.006499785
2016-09-23,-0.005736775
2016-09-26,-0.008587762
2016-09-27,0.00644417
2016-09-28,0.005296554
2016-09-29,-0.009321411
2016-09-30,0.007967969
2016-10-03,-0.003260696
2016-10-04,-0.004955562
2016-10-05,0.004296691
2016-10-06,0.00048156
2016-10-07,-0.003253484
2016-10-10,0.004605905
2016-10-11,-0.012446472
2016-10-12,0.001146589
2016-10-13,-0.003099264
2016-10-14,0.000201604
2016-10-17,-0.003037994
2016-10-18,0.006160403
2016-10-19,0.002191971
2016-10-20,-0.001375724
2016-10-21,-8.41E-05
2016-10-24,0.00474984
2016-10-25,-0.003797728
2016-10-26,-0.001740411
2016-10-27,-0.002986727
2016-10-28,-0.003108299
2016-10-31,-0.000122277
2016-11-01,-0.006786883
2016-11-02,-0.006525501
2016-11-03,-0.004423401
2016-11-04,-0.001666131
2016-11-07,0.022223544
2016-11-08,0.003771974
2016-11-09,0.011077021
2016-11-10,0.001950746
2016-11-11,-0.00139795
2016-11-14,-0.000115503
2016-11-15,0.007480798
2016-11-16,-0.001582264
2016-11-17,0.00467637
2016-11-18,-0.002386798
2016-11-21,0.007461401
2016-11-22,0.002165432
2016-11-23,0.000808025
2016-11-25,0.003914387
2016-11-28,-0.005254536
2016-11-29,0.001335293
2016-11-30,-0.002653404
2016-12-01,-0.003515529
2016-12-02,0.000397006
2016-12-05,0.005821305
2016-12-06,0.003410888
2016-12-07,0.013163242
2016-12-08,0.002159343
2016-12-09,0.005938985
2016-12-12,-0.001137435
2016-12-13,0.006539775
2016-12-14,-0.008117172
2016-12-15,0.003883228
2016-12-16,-0.001750623
2016-12-19,0.001975121
2016-12-20,0.003637512
2016-12-21,-0.002457361
2016-12-22,-0.001862974
2016-12-23,0.001251715
2016-12-27,0.002248373
2016-12-28,-0.008356529
2016-12-29,-0.000293305
2016-12-30,-0.00463705
2017-01-03,0.008486575
2017-01-04,0.005722274
2017-01-05,-0.00077067
2017-01-06,0.003516959
2017-01-09,-0.003548594
2017-01-10,0
2017-01-11,0.002829638
2017-01-12,-0.002144809
2017-01-13,0.001849841
2017-01-17,-0.002967503
2017-01-18,0.001763754
2017-01-19,-0.003609309
2017-01-20,0.003366238
2017-01-23,-0.002690125
2017-01-24,0.006564594
2017-01-25,0.008026091
2017-01-26,-0.000735384
2017-01-27,-0.000866464
2017-01-30,-0.006009543
2017-01-31,-0.000889905
2017-02-01,0.000298364
2017-02-02,0.000570309
2017-02-03,0.007264758
2017-02-06,-0.002115357
2017-02-07,0.000226829
2017-02-08,0.000693322
2017-02-09,0.005752546
